Parameter,Default value,Type,Format,Context,Sub_Context,Target,Source,Unit,Description,Notes
DIC_x50,1,float,"#,##0.0",,,,,,,
DIC_min,0.25,float,"#,##0.00",,,,,,,
DIC_rate,0,float,"#,##0.00",,,,,$,"Declining non-financial intangible cost at time of installation (only used for market competition, not financial cost of service).",
DIC_shape,0,float,"#,##0.0",,,,,,,
Retrofit_heterogeneity,10,float,"#,##0",,,,,,,Only for Tech Compete nodes
Retrofit_existing_max,1,float,0.0%,,,,,%,Maximum market share of an existing technology that is allowed to retrofit.,
Retrofit_existing_min,0,float,0.0%,,,,,%,Minimum market share of an existing technology that must retrofit.,
Retrofit_new_max,1,float,0.0%,,,,,%,Maximum new market share a technology can be allocated based on retrofit stock competition.,
Retrofit_new_min,0,float,0.0%,,,,,%,Minimum new market share a technology must be allocated based on retrofit stock competition.,
Emissions,0,float,"#,##0.0000",Name of GHG,Type,,"ECCC, NIR",tCO2e/XX provided,,Can have multiple rows with different context/sub_context values
Emissions_biomass,0,float,"#,##0.0000",Name of GHG,Type,,"ECCC, NIR",tCO2e/XX provided,,Can have multiple rows with different context/sub_context values
Emissions_removal,0,float,"#,##0.0000",Name of GHG,Type,,,%,GHG emissions removal effectiveness.,Can have multiple rows with different context/sub_context values
Emissions_GWP,0,float,"#,##0.0",Name of GHG,,,,tCO2e/tGHG,Global warming potential of GHG.,
Benchmark,0,float,"#,##0.0000",Name of GHG,Type,,,tCO2e/XX provided,OBPS benchmark,
Revenue recycle rate,0,float,0.0%,"Name of taxed item (e.g. fuel, GHG, product)",Type,,,%,Percentage of emissions tax revenue to be recycled,Can have multiple rows with different context/sub_context values
Price,0,float,"#,##0.00",,,,,$/XX provided,"Price, rather than lifecycle cost or production cost, of a node. Define for all years to set exogenous price.",
P2000,0,float,"#,##0.00",,,,,$/XX provided,"Price, rather than lifecycle cost or production cost, of a node in year 2000. Define for endogenous price modelling.",
COP,1,float,0.0%,,,,,%,Cost of production covered by the change in fLCC,
Non-energy cost change,0,float,"#,##0.00",,,,,,The change in non-energy cost contributes to the price of a node at a ratio of 1-COP,
Domestic elasticity,0,float,"#,##0.00",,,,,,Price to quantity elasticity.,
Ref stock exported,0,float,"#,##0.00",Region,,,,XX provided,Reference forecast of exports to a given region.,
Global price,1,float,"#,##0.00",Region,,,,$/XX provided,Forecast of global price for a traded good in the export region.,
Export subsidy,0,float,"#,##0.00",Region,,,,$/XX provided,Domestic export subsidy.,
Export elasticity,0,float,"#,##0.00",Region,,,,,Price to quantity elasticity for exports.,
Load curve,0,float,"#,##0.0000",Name of service,Month,Branch of service,,XX requested,Share of energy allocated to indicated daily load hour,
Cost curve quantity,0,float,"#,##0.0",,,,,GJ,,
Cost curve price,0,float,"#,##0.00",,,,,$,,
Retirement intercept,-11.513,float,"#,##0.000",,,,,,,
Currency,0,int,0,,,,,$ type,Currency type and dollar year.,
Attribute,1,float,"#,##0","Population, GDP",,,,XX provided,?? Needed or split into separate specific parameters?,
Tree index,0,int,0,,,,,,,
---------------------------,,,,,,,,,,
CALIBRATION | lcc_financial,0,float,"#,##0.00",0,,,,,,
CALIBRATION | provided_quantities,0,float,"#,##0.0",,,,,,,
CALIBRATION | requested_quantitiies,0,float,"#,##0.0",,,,,,,
CALIBRATION | market share,0,float,0.0%,,,,,,,
CALIBRATION | new_stock,0,float,"#,##0.0",,,,,,,
CALIBRATION | total_stock,0,float,"#,##0.0",,,,,,,
CALIBRATION | distributed_supply,0,float,"#,##0.0",,,,,,,
CALIBRATION | total_cumul_ net_emissions,0,float,"#,##0.0",,,,,,,
CALIBRATION | total_cumul_negative_emissions,0,float,"#,##0.0",,,,,,,
CALIBRATION | total_cumul_avoided_emissions,0,float,"#,##0.0",,,,,,,
