Parameter,Default value,Type,Format,Context,Sub_Context,Target,Source,Unit,Description,Notes
retrofit_new_min,0,float,0.00%,,,,,%,Minimum new market share a technology must be allocated based on retrofit stock competition.,
emissions,0,float,"#,##0.0000",Name of GHG,Type,,"ECCC, NIR",tCO2e/XX provided,,Can have multiple rows with different context/sub_context values
emissions_biomass,0,float,"#,##0.0000",Name of GHG,Type,,"ECCC, NIR",tCO2e/XX provided,,Can have multiple rows with different context/sub_context values
emissions_removal,0,float,0.00%,Name of GHG,Type,,,%,GHG emissions removal effectiveness.,Can have multiple rows with different context/sub_context values
emissions_gwp,0,float,"#,##0.0",Name of GHG,,,,tCO2e/tGHG,Global warming potential of GHG.,
benchmark,0,float,"#,##0.0000",Name of GHG,Type,,,tCO2e/XX provided,OBPS benchmark,
revenue_recycle_rate,0,float,0.00%,"Name of taxed item (e.g. fuel, GHG, product)",Type,,,%,Percentage of emissions tax revenue to be recycled,Can have multiple rows with different context/sub_context values
price,0,float,"#,##0.00",,,,,$/XX provided,"Price, rather than lifecycle cost or production cost, of a node. Define for all years to set exogenous price.",
p2000,0,float,"#,##0.00",,,,,$/XX provided,"Price, rather than lifecycle cost or production cost, of a node in year 2000. Define for endogenous price modelling.",
cop,1,float,0.00%,,,,,%,Cost of production covered by the change in fLCC,
non_energy_cost_change,0,float,"#,##0.00",,,,,,The change in non-energy cost contributes to the price of a node at a ratio of 1-COP,
domestic_elasticity,0,float,"#,##0.00",,,,,,Price to quantity elasticity.,
stock_ref_exported,0,float,"#,##0.00",Region,,,,XX provided,Reference forecast of exports to a given region.,
global_price,1,float,"#,##0.00",Region,,,,$/XX provided,Forecast of global price for a traded good in the export region.,
export_subsidy,0,float,"#,##0.00",Region,,,,$/XX provided,Domestic export subsidy.,
export_elasticity,0,float,"#,##0.00",Region,,,,,Price to quantity elasticity for exports.,
load_curve,0,float,"#,##0.0000",Name of service,Month,Branch of service,,XX requested,Share of energy allocated to indicated daily load hour,
cost_curve_quantity,0,float,"#,##0.0",,,,,GJ,,
cost_curve_price,0,float,"#,##0.00",,,,,$,,
intercept_retirement,-11.513,float,"#,##0.000",,,,,,,
inheritance,FALSE,bool,General,Parameter,,,,,Prevent node from inheriting parameter value from parent (node's children may still inherit),
currency,0,int,0,,,,,$ type,Currency type and dollar year.,
attribute,1,float,"#,##0","Population, GDP",,,,XX provided,?? Needed or split into separate specific parameters?,
tree_index,0,int,0,,,,,,,
---------------------------,,,,,,,,,,
calibration_lcc_financial,0,float,"#,##0.00",0,,,,,,
calibration_quantity_provided,0,float,"#,##0.0",,,,,,,
calibration_quantity_requested,0,float,"#,##0.0",,,,,,,
calibration_market_share_total,0,float,0.00%,,,,,,,
calibration_stock_new,0,float,"#,##0.0",,,,,,,
calibration_stock_total,0,float,"#,##0.0",,,,,,,
calibration_quantity_distributed,0,float,"#,##0.0",,,,,,,
calibration_emissions_total_cumul_net,0,float,"#,##0.0",,,,,,,
calibration_emissions_total_cumul_negative,0,float,"#,##0.0",,,,,,,
calibration_emissions_total_cumul_avoided,0,float,"#,##0.0",,,,,,,
